en,pl
the,the
and,i
have,mieć
that,te
for,dla
you,ciebie
with,z
say,powiedz
this,to
they,oni
but,ale
his,jego
from,od
not,nie
she,ona
as,jako
what,co
their,ich
can,mogę
who,kto
get,dostać
would,chciał by
her,jej
all,wszystko
make,zrobić
about,o
know,wiedzieć
will,będzie
one,pewnego
time,razu
there,tam
year,rok
think,pomyślec
when,kiedy
which,które
them,ich
some,niektórzy
people,ludzie
take,wyjmuję
out,wychodzę™
into,do
just,po prostu
see,zobaczyć
him,go
your,twoje
come,przyjść
could,mógłby
now,teraz
than,niż
like,jak
other,inny
how,jak
then,wtedy
its,to
our,nasze
two,dwa
more,więcej
these,te
want,chcę
way,sposób
look,wyglądać
first,pierwszy
also,również
new,nowy
because,ponieważ
day,dzień
use,uzywać
man,człowiek
find,znaleźć
here,tutaj
thing,rzecz
give,daj
many,wiele
well,dobrze
only,tylko
those,te
tell,powiedz
very,bardzo
even,nawet
back,z powrotem
any,jakikolwiek
good,dobry
woman,kobieta
through,przez
life,życie
child,dziecko
work,praca
down,w dół
may,mogę
after,po
should,powinien
call,zadzwonić
world,świat
over,ponad
school,szkoła
still,nadal
try,spróbuj
last,ostatni
ask,zapytaj
need,potrzebować
too,zbyt
feel,czuć
three,trzy
state,stan
never,nigdy
become,stać się
between,pomiędzy
high,wysoki
really,naprawdę
something,coś
most,najbardziej
another,inny
much,dużo
family,rodzinny
own,własny
leave,zostawić
put,polozyć
old,stary
while,podczas gdy
mean,wredni
keep,zachować
student,uczeń
why,dlaczego
let,pozwolić
great,świetny
same,taki sam
big,duży
group,grupa
begin,zacząć
seem,wydawać się
country,kraj
help,pomoc dieHilfe/pomóc jemanden helfen
talk,rozmawiać
where,gdzie
turn,zwrócić
problem,problem
every,każdy
start,start
hand,ręka
might,mógłby
American,amerykański
show,pokaz
part,część
against,przeciwko
place,miejsce
such,taki
again,ponownie
few,kilka
case,przypadek
week,tydzień
company,firma
system,system
each,każdy
right,prawo
program,program
hear,słyszeć
question,pytanie
during,podczas
play,odtwarzania
government,rząd
run,bieg
small,mały
number,liczba
off,wyłączone
always,zawsze
movement,ruch
night,noc
live,na żywo
Mr.,Pan
point,punkt
believe,wierzyć
hold,trzymać
today,dzisiaj
bring,przynosić
happen,zdarzyć się™
next,następny
without,bez
before,przed
million,milion
must,musi
house,dom
under,pod
water,woda
room,pokój
write,pisać
mother,matka
area,obszar
domestic,krajowy
money,pieniądze
story,opowieść
young,młody
fact,fakt
month,miesiąc
fate,los
study,studia
book,książka
eye,oko
